utp_id;cd_mun;nm_mun
499;1717008;1717008
499;1720937;1720937
499;1718659;1718659
516;1703073;1703073
516;1710508;1710508
516;1709005;1709005
516;1703842;1703842
249;1718501;1718501
249;1704105;1704105
249;1716653;1716653
249;1716703;1716703
249;1708254;1708254
249;1711100;1711100
249;1718881;1718881
249;1716505;1716505
249;1709302;1709302
249;1710904;1710904
249;1718709;1718709
249;1718758;1718758
249;1703305;1703305
249;1721257;1721257
249;1718402;1718402
526;1720853;1720853
526;1715754;1715754
526;1708205;1708205
526;1709500;1709500
526;1700350;1700350
526;1706258;1706258
526;1720499;1720499
526;1707652;1707652
526;1716604;1716604
526;1707306;1707306
526;1720259;1720259
526;1711506;1711506
526;1700707;1700707
526;1703867;1703867
570;1719004;1719004
570;1711951;1711951
570;1712405;1712405
570;1715101;1715101
584;1717909;1717909
584;1720150;1720150
584;1712702;1712702
216;1721109;1721109
216;1703107;1703107
216;1713304;1713304
216;1712009;1712009
216;1713205;1713205
628;1716208;1716208
628;1714203;1714203
727;1715150;1715150
727;1712157;1712157
727;1717800;1717800
727;1720903;1720903
727;1702703;1702703
727;1705557;1705557
231;1718451;1718451
231;1716109;1716109
231;1709807;1709807
231;1721000;1721000
231;1713601;1713601
231;1718204;1718204
231;1720655;1720655
231;1703701;1703701
231;1701101;1701101
231;1715507;1715507
231;1707553;1707553
105;1714302;1714302
105;1720002;1720002
105;1701051;1701051
105;1706506;1706506
105;1712454;1712454
105;1700301;1700301
105;1720101;1720101
105;1712801;1712801
105;1721208;1721208
105;1710706;1710706
105;1703826;1703826
105;1713809;1713809
307;1718550;1718550
307;1701002;1701002
307;1722107;1722107
307;1507458;1507458
307;1702158;1702158
307;1505635;1505635
2;2112852;2112852
2;2110856;2110856
2;2105427;2105427
2;2100055;2100055
2;2103257;2103257
2;2111532;2111532
32;2111409;2111409
32;2108702;2108702
32;2111508;2111508
32;2107407;2107407
32;2105708;2105708
32;2106631;2106631
32;2101202;2101202
32;2113009;2113009
32;2102077;2102077
32;2101772;2101772
32;2103554;2103554
32;2108801;2108801
32;2102705;2102705
32;2105807;2105807
32;2111722;2111722
32;2100436;2100436
32;2108108;2108108
32;2106359;2106359
32;2105906;2105906
32;2105963;2105963
400;2101400;2101400
400;2106102;2106102
400;2109700;2109700
400;2111607;2111607
405;2104008;2104008
405;2104081;2104081
405;2105476;2105476
405;2101608;2101608
405;2111631;2111631
405;2111672;2111672
407;2110278;2110278
407;2101707;2101707
407;2108058;2108058
407;2105005;2105005
407;2109403;2109403
456;2104305;2104305
456;2105658;2105658
456;2102606;2102606
456;2101970;2101970
456;2100550;2100550
456;2102903;2102903
456;2106201;2106201
85;2103000;2103000
85;2111078;2111078
85;2107803;2107803
85;2106607;2106607
85;2100303;2100303
85;2103307;2103307
419;2106672;2106672
419;2100808;2100808
419;2106409;2106409
419;2102101;2102101
419;2103208;2103208
475;2104206;2104206
475;2102309;2102309
475;2105450;2105450
475;2106706;2106706
475;2111904;2111904
475;2103505;2103505
475;2107902;2107902
475;2105922;2105922
91;2103802;2103802
91;2108454;2108454
91;2103604;2103604
91;2110302;2110302
91;2112100;2112100
91;2104503;2104503
91;2102754;2102754
496;2103109;2103109
496;2104909;2104909
496;2100832;2100832
496;2101301;2101301
496;2103703;2103703
496;2109056;2109056
496;2111789;2111789
339;2102556;2102556
339;2104057;2104057
339;2109007;2109007
339;2111052;2111052
339;2102804;2102804
339;2105989;2105989
511;2111573;2111573
511;2104099;2104099
511;2104107;2104107
511;2107258;2107258
518;2100956;2100956
518;2105351;2105351
518;2104800;2104800
128;2105302;2105302
128;2102358;2102358
128;2103752;2103752
128;2105500;2105500
128;2109551;2109551
128;2107001;2107001
128;2104552;2104552
128;2111763;2111763
219;2107100;2107100
219;2105104;2105104
219;2101103;2101103
705;2107704;2107704
705;2107308;2107308
705;2111953;2111953
705;2111102;2111102
705;2108009;2108009
248;2106003;2106003
248;2105609;2105609
248;2101939;2101939
248;2108207;2108207
248;2105203;2105203
248;2108900;2108900
248;2112233;2112233
248;2105948;2105948
295;2108603;2108603
295;2107456;2107456
295;2109239;2109239
295;2109270;2109270
295;2108405;2108405
295;2109809;2109809
295;2101905;2101905
295;2101350;2101350
295;2110500;2110500
295;2102408;2102408
295;2106805;2106805
295;2111003;2111003
295;2106508;2106508
295;2112456;2112456
295;2103125;2103125
295;2103174;2103174
295;2103158;2103158
295;2111706;2111706
295;2106326;2106326
295;2107605;2107605
295;2106375;2106375
295;2104677;2104677
657;2109106;2109106
657;2110708;2110708
657;2104404;2104404
657;2109759;2109759
657;2111250;2111250
657;2112308;2112308
657;2104701;2104701
657;2111748;2111748
657;2104628;2104628
657;2104602;2104602
77;1707702;1707702
77;2104073;2104073
77;2109502;2109502
681;2109908;2109908
681;2102507;2102507
681;2112803;2112803
681;2106904;2106904
681;2102325;2102325
681;2110005;2110005
681;2108504;2108504
681;2102036;2102036
681;2105153;2105153
681;2101004;2101004
681;2102150;2102150
681;2112902;2112902
681;2100402;2100402
681;2100477;2100477
681;2112274;2112274
681;2102002;2102002
273;2110203;2110203
273;2109205;2109205
273;2101251;2101251
273;2102374;2102374
273;2109601;2109601
314;2111201;2111201
314;2111300;2111300
314;2107506;2107506
314;2109452;2109452
724;2111805;2111805
724;2100600;2100600
10;2112001;2112001
10;2209203;2209203
10;2100501;2100501
239;2202729;2202729
239;2202703;2202703
239;2100154;2100154
239;2110237;2110237
239;2112506;2112506
239;2202539;2202539
239;2202653;2202653
239;2206696;2206696
239;2201919;2201919
239;2202000;2202000
239;2100907;2100907
745;2112704;2112704
745;2100709;2100709
745;2105401;2105401
745;2112605;2112605
745;2106755;2106755
745;2107209;2107209
745;2101731;2101731
745;2109304;2109304
745;2110401;2110401
765;2107357;2107357
765;2110039;2110039
765;2100873;2100873
765;2114007;2114007
765;2111029;2111029
765;2108256;2108256
765;2108306;2108306
765;2104651;2104651
444;2311207;2311207
444;2200251;2200251
444;2311959;2311959
444;2302701;2302701
444;2208205;2208205
444;2301307;2301307
665;2201150;2201150
665;2208908;2208908
412;2203206;2203206
412;2203230;2203230
412;2204550;2204550
412;2208700;2208700
412;2207405;2207405
412;2206654;2206654
412;2201903;2201903
