sede_origem,utp_origem,sede_destino,utp_destino,tempo_viagem_h,score_origem,score_destino,rm_origem,rm_destino,status,motivo_rejeicao
3534302,707,,281,1.1550668169670961,0,2,Recorte Metropolitano de Ribeirão Preto,Recorte Metropolitano de Ribeirão Preto,APROVADO,
3538709,256,,317,0.4731898032286072,1,1,Recorte Metropolitano de Piracicaba,Recorte Metropolitano de Piracicaba,APROVADO,
3539202,258,,274,1.2190070997090932,0,2,,,APROVADO,
3544251,226,,462,0.966326132351288,0,0,,,APROVADO,
3550100,712,,50,0.42922776840760424,0,1,,,APROVADO,
3554003,332,,48,0.4311171909190457,1,1,Recorte Metropolitano de Sorocaba,Recorte Metropolitano de Sorocaba,APROVADO,
4102406,402,,481,0.5853242447386301,0,1,,,APROVADO,
4104600,661,,79,1.0689214142571721,1,2,Recorte Metropolitano de Cascavel,Recorte Metropolitano de Cascavel,APROVADO,
4104907,460,,264,0.8959116194393413,1,2,,,APROVADO,
4111803,384,,230,0.48068149329260285,1,1,,,APROVADO,
4114203,177,,211,0.563068685034262,1,2,Recorte Metropolitano de Maringá,Recorte Metropolitano de Maringá,APROVADO,
4114609,582,,340,0.7846999799795654,1,1,Recorte Metropolitano de Toledo,Recorte Metropolitano de Toledo,APROVADO,
4117909,624,,340,0.9576657542021664,1,1,Recorte Metropolitano de Toledo,Recorte Metropolitano de Toledo,APROVADO,
4119954,212,,234,0.25829310714519194,1,1,,,APROVADO,
4211751,229,,191,1.3332115502214705,0,1,Recorte Metropolitano de Lages,Recorte Metropolitano de Lages,APROVADO,
4212908,304,,88,0.9215726939756217,0,2,Recorte Metropolitano de Chapecó,Recorte Metropolitano de Chapecó,APROVADO,
4216503,706,,191,0.8900747672689383,1,1,Recorte Metropolitano de Lages,Recorte Metropolitano de Lages,APROVADO,
4300406,372,,672,1.8699873344611047,0,0,,,APROVADO,
4302105,43,,84,1.0287278900158259,1,2,Recorte Metropolitano da Serra Gaúcha,Recorte Metropolitano da Serra Gaúcha,APROVADO,
4302808,427,,717,0.9654265439668317,0,0,,,APROVADO,
4304705,454,,240,0.8069520591995307,0,2,,,APROVADO,
4306106,491,,535,1.068754716491936,1,1,,,APROVADO,
4310207,535,,299,0.8052787069029933,1,2,,,APROVADO,
4310603,144,,156,1.7567582139283744,0,2,,,APROVADO,
4312401,596,,267,1.076550054133685,0,2,Recorte Metropolitano de Porto Alegre,Recorte Metropolitano de Porto Alegre,APROVADO,
4313409,228,,267,0.8309137319736145,1,2,Recorte Metropolitano de Porto Alegre,Recorte Metropolitano de Porto Alegre,APROVADO,
